"","Curves","eqTemp","eqTime","Species","Trial","OTM"
"238","AG_T2_Lizard",27.3115810314834,1,"AG","T2","Lizard"
"239","AG_T3_PLA",23.5509901396176,64,"AG","T3","PLA"
"240","AG_T3_Lizard",30.0769777078551,1,"AG","T3","Lizard"
"241","AG_T3_CopperPLA",23.1173734673128,103,"AG","T3","CopperPLA"
"242","AG_T3_ABS",23.8051076866207,132,"AG","T3","ABS"
"243","AC_T4_ABS",29.6772413912264,1,"AC","T4","ABS"
"244","AC_T4_CopperPLA",29.4846864025517,3,"AC","T4","CopperPLA"
"245","AC_T4_PLA",29.4546765949105,6,"AC","T4","PLA"
"246","AC_T4_Lizard",29.344277772636,8,"AC","T4","Lizard"
"247","AC_T5_ABS",25.2324954940351,87,"AC","T5","ABS"
"248","AC_T5_CopperPLA",25.0380716224802,67,"AC","T5","CopperPLA"
"249","AC_T5_PLA",25.0736809059756,48,"AC","T5","PLA"
"250","AC_T5_Lizard",25.1385544221689,97,"AC","T5","Lizard"
"251","AC_T7_Lizard",NA,NA,"AC","T7","Lizard"
"252","AC_T7_ABS",NA,NA,"AC","T7","ABS"
"253","AC_T7_CopperPLA",NA,NA,"AC","T7","CopperPLA"
"254","AC_T7_PLA",NA,NA,"AC","T7","PLA"
"255","AC_T8_Lizard",NA,NA,"AC","T8","Lizard"
"256","AC_T8_ABS",NA,NA,"AC","T8","ABS"
"257","AC_T8_CopperPLA",NA,NA,"AC","T8","CopperPLA"
"258","AC_T8_PLA",NA,NA,"AC","T8","PLA"
"259","AC_T9_Lizard",32.9311483040652,60,"AC","T9","Lizard"
"260","AC_T9_CopperPLA",35.1083989862103,51,"AC","T9","CopperPLA"
"261","AC_T9_ABS",NA,NA,"AC","T9","ABS"
"262","AC_T9_PLA",37.817823639401,107,"AC","T9","PLA"
"263","AC_T10_Lizard",26.3494975227046,76,"AC","T10","Lizard"
"264","AC_T10_CopperPLA",NA,NA,"AC","T10","CopperPLA"
"265","AC_T10_ABS",NA,NA,"AC","T10","ABS"
"266","AC_T10_PLA",NA,NA,"AC","T10","PLA"
"267","AC_T12_PLA",25.4259377607963,65,"AC","T12","PLA"
"268","AC_T12_CopperPLA",NA,NA,"AC","T12","CopperPLA"
"269","AC_T12_ABS",NA,NA,"AC","T12","ABS"
"270","AC_T12_Lizard",NA,NA,"AC","T12","Lizard"
"271","AC_T13_ABS",30.7625423247848,102,"AC","T13","ABS"
"272","AC_T13_CopperPLA",NA,NA,"AC","T13","CopperPLA"
"273","AC_T13_PLA",28.7240779034408,92,"AC","T13","PLA"
"274","AC_T13_Lizard",29.621156474153,31,"AC","T13","Lizard"
"275","AP_T14_Lizard",35.0316211371435,53,"AP","T14","Lizard"
"276","AP_T14_CopperPLA",33.9995134647085,11,"AP","T14","CopperPLA"
"277","AP_T14_ABS",NA,NA,"AP","T14","ABS"
"278","AP_T14_PLA",NA,NA,"AP","T14","PLA"
"279","AP_T15_Lizard",32.9930273217988,44,"AP","T15","Lizard"
"280","AP_T15_CopperPLA",33.3476020707281,5,"AP","T15","CopperPLA"
"281","AP_T15_ABS",NA,NA,"AP","T15","ABS"
"282","AP_T15_PLA",NA,NA,"AP","T15","PLA"
"283","AP_T17_Lizard",30.4983542688818,20,"AP","T17","Lizard"
"284","AP_T17_Copper",30.1023758002058,9,"AP","T17","Copper"
"285","AP_T17_ABS",30.6007789924883,9,"AP","T17","ABS"
"286","AP_T17_PLA",29.9757577219033,4,"AP","T17","PLA"
"287","AP_T18_Lizard",32.7052632874029,54,"AP","T18","Lizard"
"288","AP_T18_CopperPLA",32.681985672374,32,"AP","T18","CopperPLA"
"289","AP_T18_ABS",33.0077980015654,28,"AP","T18","ABS"
